Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data","2-alpha code","WB-2 code","Table Name","Short Name"
AFG,"Islamic State of Afghanistan","Low income","South Asia","IDA","HIPC","Afghan afghani","1979","Multiple Indicator Cluster Survey (MICS), 2010/11","Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.","2002/03","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2008","","2013/14","","2013","2000","AF","AF","Afghanistan","Afghanistan"
ALB,"Republic of Albania","Upper middle income","Europe & Central Asia","IBRD","","Albanian lek","2011","Demographic and Health Survey (DHS), 2008/09","","Original chained constant price data are rescaled.","1996","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2011/12","Yes","2012","2011","2013","2006","AL","AL","Albania","Albania"
DZA,"People's Democratic Republic of Algeria","Upper middle income","Middle East & North Africa","IBRD","","Algerian dinar","2008","Multiple Indicator Cluster Survey (MICS), 2012","","1980","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 1995","","","2010","2013","2001","DZ","DZ","Algeria","Algeria"
ASM,"American Samoa","Upper middle income","East Asia & Pacific","","","U.S. dollar","2010","","","","","Country uses the 1968 System of National Accounts methodology.","","","2011 (household consumption only).","","","Special trade system","","","","Yes","2007","","","","AS","AS","American Samoa","American Samoa"
ADO,"Principality of Andorra","High income: nonOECD","Europe & Central Asia","","","Euro","2011. Population data compiled from administrative registers.","","","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","","Special trade system","","","","Yes","","","2006","","AD","AD","Andorra","Andorra"
AGO,"People's Republic of Angola","Upper middle income","Sub-Saharan Africa","IBRD","","Angolan kwanza","2014","Malaria Indicator Survey (MIS), 2011","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.","2002","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1991–96","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2008/09","","2015","","","2005","AO","AO","Angola","Angola"
ATG,"Antigua and Barbuda","High income: nonOECD","Latin America & Caribbean","IBRD","","East Caribbean dollar","2011","","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","2007","","2013","2005","AG","AG","Antigua and Barbuda","Antigua and Barbuda"
ARG,"Argentine Republic","High income: nonOECD","Latin America & Caribbean","IBRD","","Argentine peso","2010","Multiple Indicator Cluster Survey (MICS), 2011/12","The base year has changed to 2004.","2004","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","1971–84","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2013","2002","2013","2011","AR","AR","Argentina","Argentina"
ARM,"Republic of Armenia","Lower middle income","Europe & Central Asia","IBRD","","Armenian dram","2011","Demographic and Health Survey (DHS), 2010","","Original chained constant price data are rescaled.","1996","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2013/14","2008","2013","2012","AM","AM","Armenia","Armenia"
ABW,"Aruba","High income: nonOECD","Latin America & Caribbean","","","Aruban florin","2010","","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","","","","Yes","","","2012","","AW","AW","Aruba","Aruba"
