Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","8994793","11121097","13211412","12067570","19701940","20531160","25183615","25877544","26528741","27207291","27962207","28809167","29726803","30682500","31627506",".."
"Population, total","SP.POP.TOTL","Albania","ALB","1608800","2135479","2671997","3286542","3089027","3060173","2992547","2970017","2947314","2927519","2913021","2904780","2900489","2897366","2894475",".."
"Population, total","SP.POP.TOTL","Algeria","DZA","11124892","14550033","19337723","25912364","31183658","31590320","33749328","34261971","34811059","35401790","36036159","36717132","37439427","38186135","38934334",".."
"Population, total","SP.POP.TOTL","American Samoa","ASM","20012","27292","32456","47044","57522","58176","58648","57904","57031","56226","55636","55316","55227","55302","55434",".."
"Population, total","SP.POP.TOTL","Andorra","ADO","13414","24279","36063","54511","65399","67770","83373","84878","85616","85474","84419","82326","79316","75902","72786",".."
"Population, total","SP.POP.TOTL","Angola","AGO","5270844","6300969","8211950","11127870","15058638","15562791","18541467","19183907","19842251","20520103","21219954","21942296","22685632","23448202","24227524",".."
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","54681","65369","70301","61906","77648","78972","83467","84397","85350","86300","87233","88152","89069","89985","90900",".."
"Population, total","SP.POP.TOTL","Argentina","ARG","20619075","23973062","28105889","32729740","37057453","37471535","39558750","39969903","40381860","40798641","41222875","41655616","42095224","42538304","42980026",".."
"Population, total","SP.POP.TOTL","Armenia","ARM","1867396","2518408","3096298","3544695","3076098","3060036","3002161","2988117","2975029","2966108","2963496","2967984","2978339","2992192","3006154",".."
"Population, total","SP.POP.TOTL","Aruba","ABW","54208","59065","60096","62148","90858","92894","100830","101218","101342","101416","101597","101936","102393","102921","103441",".."
"Population, total","SP.POP.TOTL","Australia","AUS","10276477","12507000","14692000","17065100","19153000","19413000","20697900","20827600","21249200","21691700","22031750","22340024","22728254","23125868","23490736",".."
"Population, total","SP.POP.TOTL","Austria","AUT","7047539","7467086","7549433","7677850","8011566","8042293","8268641","8295487","8321496","8343323","8363404","8391643","8429991","8479375","8534492",".."
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","3897889","5178160","6163990","7159000","8048600","8111200","8484550","8581300","8763400","8947243","9054332","9173082","9295784","9416801","9537823",".."
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","109526","169356","210660","256338","297891","303138","335801","342259","348587","354780","360830","366711","372388","377841","383054",".."
"Population, total","SP.POP.TOTL","Bahrain","BHR","162501","213102","359902","495944","666855","694893","940808","1026568","1115777","1196774","1261319","1306014","1333577","1349427","1361930",".."
"Population, total","SP.POP.TOTL","Bangladesh","BGD","48200702","65048701","81364176","105983136","131280739","133776064","144839238","146592687","148252473","149905836","151616777","153405612","155257387","157157394","159077513",".."
"Population, total","SP.POP.TOTL","Barbados","BRB","230934","238847","252197","260374","269838","270686","275040","276154","277315","278466","279566","280602","281580","282503","283380",".."
"Population, total","SP.POP.TOTL","Belarus","BLR","8198000","9040000","9643000","10189000","10005000","9928000","9604000","9560000","9528000","9507000","9490000","9473000","9464000","9466000","9470000",".."
"Population, total","SP.POP.TOTL","Belgium","BEL","9153489","9655549","9859242","9967379","10251250","10286570","10547958","10625700","10709973","10796493","10920272","11047744","11128246","11182817","11225207",".."
"Population, total","SP.POP.TOTL","Belize","BLZ","92068","122179","144151","187552","247312","254989","290751","298403","306165","313925","321609","329193","336707","344193","351706",".."
"Population, total","SP.POP.TOTL","Benin","BEN","2431620","2907769","3718024","5001271","6949366","7174911","8443717","8707637","8973525","9240982","9509798","9779391","10049792","10322232","10598482",".."
"Population, total","SP.POP.TOTL","Bermuda","BMU","44400","55000","54670","59326","61833","62504","64523","64888","65273","65636","65124","64564","64798","65001","65181",".."
"Population, total","SP.POP.TOTL","Bhutan","BTN","224108","291457","412561","535505","564187","580784","666920","681471","694990","707830","720246","732246","743711","754637","765008",".."
"Population, total","SP.POP.TOTL","Bolivia","BOL","3693451","4505774","5589572","6856246","8339512","8496378","9283345","9441482","9599916","9758799","9918245","10078238","10238762","10399931","10561887",".."
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3214520","3745637","4144726","4526996","3792878","3799747","3838504","3840418","3839749","3837732","3835258","3832310","3828419","3823533","3817554",".."
"Population, total","SP.POP.TOTL","Botswana","BWA","524029","693021","996331","1379814","1736579","1762531","1895671","1930431","1967866","2007212","2047831","2089706","2132822","2176510","2219937",".."
"Population, total","SP.POP.TOTL","Brazil","BRA","72493585","95982453","122199721","150393143","175786441","178419396","190698241","192784521","194769696","196701298","198614208","200517584","202401584","204259377","206077898",".."
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","81825","129729","193057","256939","330554","337074","368150","374459","380786","387080","393302","399443","405512","411499","417394",".."
"Population, total","SP.POP.TOTL","Bulgaria","BGR","7867374","8489574","8861535","8718289","8170172","8020282","7699020","7545338","7492561","7444443","7395599","7348328","7305888","7265115","7226291",".."
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","4829291","5624597","6822840","8811033","11607944","11943740","13834195","14264002","14709011","15165856","15632066","16106851","16590813","17084554","17589198",".."
"Population, total","SP.POP.TOTL","Burundi","BDI","2786740","3457113","4126544","5613141","6767073","6946720","8218070","8514578","8821795","9137786","9461117","9790151","10124572","10465959","10816860",".."
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","202316","270197","285599","341256","438737","447357","478265","481278","483824","486673","490379","495159","500870","507258","513906",".."
"Population, total","SP.POP.TOTL","Cambodia","KHM","5722370","7022185","6718241","9008856","12197905","12448881","13525360","13728700","13933660","14144337","14363586","14593099","14832255","15078564","15328136",".."
"Population, total","SP.POP.TOTL","Cameroon","CMR","5361367","6770967","8932121","12070359","15927713","16349364","18597109","19078100","19570418","20074522","20590666","21119065","21659488","22211166","22773014",".."
"Population, total","SP.POP.TOTL","Canada","CAN","17909009","21324000","24593000","27791000","30769700","31081900","32570505","32887928","33245773","33628571","34005274","34342780","34754312","35158304","35540419",".."
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","7867","9144","16164","25009","41685","43317","50028","51480","52925","54285","55509","56580","57522","58369","59172",".."
"Population, total","SP.POP.TOTL","Central African Republic","CAF","1503501","1828710","2274095","2937832","3726048","3794677","4127112","4202104","4280405","4361492","4444973","4530903","4619500","4710678","4804316",".."
"Population, total","SP.POP.TOTL","Chad","TCD","3002596","3644911","4512795","5958022","8343321","8663599","10423616","10779504","11139740","11510535","11896380","12298512","12715465","13145788","13587053",".."
"Population, total","SP.POP.TOTL","Channel Islands","CHI","109419","121196","128213","140669","148725","149797","155415","156516","157587","158613","159583","160489","161336","162138","162917",".."
"Population, total","SP.POP.TOTL","Chile","CHL","7695692","9561868","11234340","13141202","15170387","15358418","16279728","16462701","16645940","16829957","17015048","17201305","17388437","17575833","17762647",".."
"Population, total","SP.POP.TOTL","China","CHN","667070000","818315000","981235000","1135185000","1262645000","1271850000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000",".."
"Population, total","SP.POP.TOTL","Colombia","COL","16480384","22061214","27737905","34271563","40403959","40988909","43835744","44374647","44901660","45416276","45918101","46406446","46881018","47342363","47791393",".."
"Population, total","SP.POP.TOTL","Comoros","COM","188732","228443","308518","415144","547696","561525","633814","649404","665414","681845","698695","715972","733661","751697","769991",".."
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","ZAR","15248246","20009902","26357407","34962676","48048664","49449015","57926840","59834875","61809278","63845097","65938712","68087376","70291160","72552861","74877030",".."
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","1013581","1335090","1801688","2386467","3109269","3183883","3604595","3715665","3832771","3950786","4066078","4177435","4286188","4394334","4504962",".."
"Population, total","SP.POP.TOTL","Costa Rica","CRI","1333042","1848873","2389309","3095994","3925450","3996800","4308790","4369465","4429506","4488261","4545273","4600487","4654148","4706433","4757606",".."
"Population, total","SP.POP.TOTL","Cote d'Ivoire","CIV","3474724","5241914","8265549","12165909","16517948","16865376","18486392","18862172","19261647","19684909","20131707","20604172","21102641","21622490","22157107",".."
"Population, total","SP.POP.TOTL","Croatia","HRV","4140000","4411000","4588000","4780000","4426000","4440000","4440000","4436000","4434508","4429078","4417781","4280622","4267558","4255700","4236400",".."
"Population, total","SP.POP.TOTL","Cuba","CUB","7141129","8715123","9835177","10582082","11116787","11151472","11275199","11284043","11290239","11297442","11308133","11323570","11342631","11362505","11379111",".."
"Population, total","SP.POP.TOTL","Curacao","CUW","124826","144739","148041","145400","133860","129047","141239","144056","145880","146833","148703","150831","152088","153821","155872",".."
"Population, total","SP.POP.TOTL","Cyprus","CYP","572929","613619","685406","766611","943287","961482","1048293","1063040","1077010","1090486","1103685","1116644","1129303","1141652","1153658",".."
"Population, total","SP.POP.TOTL","Czech Republic","CZE","9602006","9858071","10304193","10333355","10255063","10216605","10238905","10298828","10384603","10443936","10474410","10496088","10510785","10514272","10510566",".."
"Population, total","SP.POP.TOTL","Denmark","DNK","4579603","4928757","5123027","5140939","5339616","5358783","5437272","5461438","5493621","5523095","5547683","5570572","5591572","5614932","5639565",".."
"Population, total","SP.POP.TOTL","Djibouti","DJI","83636","159667","358960","588356","722562","734088","788941","799309","809639","820097","830802","841802","853069","864554","876174",".."
"Population, total","SP.POP.TOTL","Dominica","DMA","60016","71076","75313","70928","69679","69660","70690","70795","70881","70995","71167","71402","71685","72005","72341",".."
"Population, total","SP.POP.TOTL","Dominican Republic","DOM","3294039","4503114","5809271","7183646","8562623","8697127","9371333","9504336","9636491","9767737","9897983","10027140","10155036","10281408","10405943",".."
"Population, total","SP.POP.TOTL","Ecuador","ECU","4545548","6072520","7976449","10218085","12628596","12852753","13967490","14205479","14447600","14691310","14934692","15177280","15419493","15661312","15902916",".."
"Population, total","SP.POP.TOTL","Egypt, Arab Rep.","EGY","27072397","34808599","43369552","56397273","68334905","69599945","76274285","77605327","78976122","80442443","82040994","83787634","85660902","87613909","89579670",".."
"Population, total","SP.POP.TOTL","El Salvador","SLV","2762897","3668592","4577683","5252082","5811836","5844738","5967556","5986414","6004199","6021368","6038306","6055208","6072233","6089644","6107706",".."
"Population, total","SP.POP.TOTL","Equatorial Guinea","GNQ","252115","290905","220605","377363","530896","549007","645718","665798","686223","707155","728710","750918","773729","797082","820885",".."
"Population, total","SP.POP.TOTL","Eritrea","ERI","1407631","1805480","2383858","3139083","3535156","3655006","4304440","4406299","4500638","4593549","4689664","4789568","4892233","4998824","5110444",".."
"Population, total","SP.POP.TOTL","Estonia","EST","1211537","1360076","1477219","1569174","1396985","1388115","1346810","1340680","1337090","1334515","1331475","1327439","1322696","1317997","1313645",".."
"Population, total","SP.POP.TOTL","Ethiopia","ETH","22151218","28414999","35239974","48057094","66443603","68393128","78735675","80891968","83079608","85302099","87561814","89858696","92191211","94558374","96958732",".."
"Population, total","SP.POP.TOTL","Faeroe Islands","FRO","34266","38587","43010","48031","46491","47012","48505","48599","48629","48613","48567","48492","48393","48292","48221",".."
"Population, total","SP.POP.TOTL","Fiji","FJI","393383","520529","635256","728626","811223","814215","827390","834729","843206","851854","859952","867327","874158","880487","886450",".."
"Population, total","SP.POP.TOTL","Finland","FIN","4429634","4606307","4779535","4986431","5176209","5188008","5266268","5288720","5313399","5338871","5363352","5388272","5413971","5438972","5463596",".."
"Population, total","SP.POP.TOTL","France","FRA","46814237","52035095","55340782","58512808","60912498","61357431","63621376","64016229","64374990","64707044","65027512","65342776","65639975","65925498","66206930",".."
"Population, total","SP.POP.TOTL","French Polynesia","PYF","78083","110496","151702","198370","237267","241276","257731","260361","262877","265412","268065","270862","273775","276766","279781",".."
"Population, total","SP.POP.TOTL","Gabon","GAB","499189","590119","729165","952269","1231548","1260435","1408920","1440902","1473741","1507428","1541936","1577298","1613489","1650351","1687673",".."
"Population, total","SP.POP.TOTL","Gambia, The","GMB","367929","447283","604371","916811","1228863","1267103","1487731","1536424","1586749","1638899","1693002","1749099","1807108","1866878","1928201",".."
"Population, total","SP.POP.TOTL","Georgia","GEO","3645600","3967800","4467700","4802000","4418300","4386400","4398000","4388400","4383800","4410900","4452800","4483350","4490700","4487200","4504100",".."
"Population, total","SP.POP.TOTL","Germany","DEU","72814900","78169289","78288576","79433029","82211508","82349925","82376451","82266372","82110097","81902307","81776930","81797673","80425823","80645605","80889505",".."
"Population, total","SP.POP.TOTL","Ghana","GHA","6652285","8596977","10802025","14628260","18824994","19293804","21951891","22528041","23115919","23713164","24317734","24928503","25544565","26164432","26786598",".."
"Population, total","SP.POP.TOTL","Greece","GRC","8331725","8792806","9642505","10156902","10917482","10951764","11127947","11163002","11186439","11187085","11153454","11123213","11092771","11027549","10957740",".."
"Population, total","SP.POP.TOTL","Greenland","GRL","32500","46400","50200","55600","56200","56350","56774","56555","56328","56323","56905","56890","56810","56483","56295",".."
"Population, total","SP.POP.TOTL","Grenada","GRD","89861","94430","89004","96286","101620","101849","103259","103587","103934","104298","104677","105070","105476","105902","106349",".."
"Population, total","SP.POP.TOTL","Guam","GUM","66741","83880","104131","130482","155328","156417","158429","158332","158310","158621","159440","160858","162807","165121","167543",".."
"Population, total","SP.POP.TOTL","Guatemala","GTM","4127555","5423384","7118628","9158547","11688660","11976725","13490041","13797629","14106687","14418033","14732261","15049280","15368759","15690793","16015494",".."
"Population, total","SP.POP.TOTL","Guinea","GIN","3577413","4215442","4506559","6034082","8799165","8955756","9898301","10152521","10427356","10715770","11012406","11316351","11628767","11948726","12275527",".."
